23212 h  gold
23212 t  good
23213 h  goose
23213 t  gorilla
23214 h  gospel
23214 t  gossip
23221 h  govern
23221 t  gown
23222 h  grab
23222 t  grace
23223 h  grain
23223 t  grant
23224 h  grape
23224 t  grass
23231 h  gravity
23231 t  great
23232 h  green
23232 t  grid
23233 h  grief
23233 t  grit
23234 h  grocery
23234 t  group
23241 h  grow
23241 t  grunt
23242 h  guard
23242 t  guess
23243 h  guide
23243 t  guilt
23244 h  guitar
23244 t  gun
23311 h  gym
23311 t  habit
23312 h  hair
23312 t  half
23313 h  hammer
23313 t  hamster
23314 h  hand
23314 t  happy
23321 h  harbor
23321 t  hard
23322 h  harsh
23322 t  harvest
23323 h  hat
23323 t  have
23324 h  hawk
23324 t  hazard
23331 h  head
23331 t  health
23332 h  heart
23332 t  heavy
23333 h  hedgehog
23333 t  height
23334 h  hello
23334 t  helmet
23341 h  help
23341 t  hen
23342 h  hero
23342 t  hidden
23343 h  high
23343 t  hill
23344 h  hint
23344 t  hip
23411 h  hire
23411 t  history
23412 h  hobby
23412 t  hockey
23413 h  hold
23413 t  hole
23414 h  holiday
23414 t  hollow
23421 h  home
23421 t  honey
23422 h  hood
23422 t  hope
23423 h  horn
23423 t  horror
23424 h  horse
23424 t  hospital
23431 h  host
23431 t  hotel
23432 h  hour
23432 t  hover
23433 h  hub
23433 t  huge
23434 h  human
23434 t  humble
23441 h  humor
23441 t  hundred
23442 h  hungry
23442 t  hunt
23443 h  hurdle
23443 t  hurry
23444 h  hurt
23444 t  husband
24111 h  hybrid
24111 t  ice
24112 h  icon
24112 t  idea
24113 h  identify
24113 t  idle
24114 h  ignore
24114 t  ill
24121 h  illegal
24121 t  illness
24122 h  image
24122 t  imitate
24123 h  immense
24123 t  immune
24124 h  impact
24124 t  impose
24131 h  improve
24131 t  impulse
24132 h  inch
24132 t  include
24133 h  income
24133 t  increase
24134 h  index
24134 t  indicate
24141 h  indoor
24141 t  industry
24142 h  infant
24142 t  inflict
24143 h  inform
24143 t  inhale
24144 h  inherit
24144 t  initial
24211 h  inject
24211 t  injury
24212 h  inmate
24212 t  inner
24213 h  innocent
24213 t  input
24214 h  inquiry
24214 t  insane
24221 h  insect
24221 t  inside
24222 h  inspire
24222 t  install
24223 h  intact
24223 t  interest
24224 h  into
24224 t  invest
24231 h  invite
24231 t  involve
24232 h  iron
24232 t  island
24233 h  isolate
24233 t  issue
24234 h  item
24234 t  ivory
24241 h  jacket
24241 t  jaguar
24242 h  jar
24242 t  jazz
24243 h  jealous
24243 t  jeans
24244 h  jelly
24244 t  jewel
24311 h  job
24311 t  join
24312 h  joke
24312 t  journey
24313 h  joy
24313 t  judge
24314 h  juice
24314 t  jump
24321 h  jungle
24321 t  junior
24322 h  junk
24322 t  just
24323 h  kangaroo
24323 t  keen
24324 h  keep
24324 t  ketchup
24331 h  key
24331 t  kick
24332 h  kid
24332 t  kidney
24333 h  kind
24333 t  kingdom
24334 h  kiss
24334 t  kit
24341 h  kitchen
24341 t  kite
24342 h  kitten
24342 t  kiwi
24343 h  knee
24343 t  knife
24344 h  knock
24344 t  know
24411 h  lab
24411 t  label
24412 h  labor
24412 t  ladder
24413 h  lady
24413 t  lake
24414 h  lamp
24414 t  language
24421 h  laptop
24421 t  large
24422 h  later
24422 t  latin
24423 h  laugh
24423 t  laundry
24424 h  lava
24424 t  law
24431 h  lawn
